,name,item_num,order_num,supplier_num,machine_num,objVal,Runtime,lowerBound,iteration,is_correct,finished_item_num,finished_order_num,pool_1,pool_2,pool_3,pool_4,pool_5
21,A_29_da_type_2_online_solve_针织,8,25,1,2,4660.0,0.14682388305664062,4660.0,1,检查正确,5,13,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,,
22,A_2_uat_1_full_梭织,10,21,1,2,5190.0,0.06718897819519043,5190.0,1,检查正确,5,8,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,,
23,A_30_da_type_2_online_solve_针织,10,27,2,4,1100.0,0.2430105209350586,1100.0,1,检查正确,9,23,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
24,A_31_da_type_2_online_solve_牛仔,10,19,3,6,0.0,0.349071741104126,0.0,1,检查正确,6,19,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
25,A_32_da_type_2_online_solve_牛仔,8,25,3,3,0.0,0.12900876998901367,0.0,1,检查正确,6,25,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
26,A_33_da_type_2_online_solve_牛仔,10,20,3,6,0.0,0.13520169258117676,0.0,1,检查正确,6,20,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
27,A_34_da_type_2_online_solve_牛仔,8,16,3,6,0.0,0.17192554473876953,0.0,1,检查正确,5,16,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
28,A_35_da_type_2_online_solve_牛仔,10,23,4,8,0.0,0.23375844955444336,0.0,1,检查正确,8,23,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
29,A_3_uat_1_full_梭织,10,22,2,9,2660.0,0.2740204334259033,2660.0,1,检查正确,8,16,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
30,A_4_uat_1_full_梭织,8,17,3,13,1380.0,0.32080721855163574,1380.0,1,检查正确,7,14,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,
31,A_5_uat_1_full_梭织,10,22,2,3,2620.0,0.1380162239074707,2620.0,1,检查正确,8,14,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,,
32,A_6_uat_1_full_针织,8,23,2,5,0.0,0.2090435028076172,0.0,1,检查正确,8,23,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
33,A_7_uat_1_full_针织,8,22,3,5,1909.5125786163517,0.10001039505004883,1909.5125786163517,1,检查正确,7,18,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
34,A_8_uat_1_full_针织,8,24,3,6,0.0,0.15100502967834473,0.0,1,检查正确,8,24,战略_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,核心_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
35,A_9_uat_1_full_针织,10,25,3,7,3370.0,0.21301531791687012,3370.0,1,检查正确,8,17,合格_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,培养_的产能规划达成率，最高为_0.0000_最低为_0.0000_平均产能规划达成率为_0.0000,,,
