demand_id,plan_type,fabric_category,internal_item_id,item_id,max_production_limit,min_production_period,max_production_period,arrival_date,type,priority,history_supplier_id,algo_finished,algo_physical_supplier_id,designated_physical_supplier_id,forced_using_private_capacity,shared_capacity_availability,advancement_candidate,manual_arrival_date,valid,create_time,update_time
1585937137646235666,1,针织,202223117001,C49771162,1,-1,-1,2022-11-15,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235667,1,针织,202223117001,C49771162,1,-1,-1,2022-11-15,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235668,1,针织,202223117001,C49771162,1,-1,-1,2022-11-15,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235669,1,针织,202223117001,C49771162,1,-1,-1,2022-11-15,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235670,1,针织,202223117018,C49249640,1,-1,-1,2022-11-08,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235671,1,针织,202223117018,C49249640,1,-1,-1,2022-11-08,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235672,1,针织,202223117018,C49249640,1,-1,-1,2022-11-08,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235673,1,针织,202223117017,C49247351,1,-1,-1,2022-11-14,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235674,1,针织,202223117017,C49247351,1,-1,-1,2022-11-14,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235675,1,针织,202223117017,C49247351,1,-1,-1,2022-11-14,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235676,1,针织,202223117017,C49247351,1,-1,-1,2022-11-14,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235677,1,针织,202223111036,C49269492,1,-1,-1,2022-11-08,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235678,1,针织,202223117205,C49469279,1,-1,-1,2022-11-15,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235679,1,针织,202223117205,C49469279,1,-1,-1,2022-11-15,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235680,1,针织,202223117205,C49469279,1,-1,-1,2022-11-15,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235681,1,针织,202223117205,C49469279,1,-1,-1,2022-11-15,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235682,1,梭织,202223111022,C47112420,3,-1,-1,2022-11-08,预估单,蓝单,0003002215,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235683,1,梭织,202223111022,C47112420,3,-1,-1,2022-11-08,预估单,蓝单,0003002215,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235684,1,梭织,202223111022,C47112420,3,-1,-1,2022-11-08,预估单,蓝单,0003002215,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235685,1,梭织,202223111022,C47112420,3,-1,-1,2022-11-08,预估单,蓝单,0003002215,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137646235686,1,梭织,202223111030,C49288751,1,-1,-1,2022-11-26,预估单,蓝单,0003000563,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429953,1,梭织,200223108104,C49401156,1,-1,-1,2022-11-14,预估单,蓝单,0003000566,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429954,1,梭织,200223108104,C49401156,1,-1,-1,2022-11-14,预估单,蓝单,0003000566,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429955,1,梭织,202223111029,C49288748,3,-1,-1,2022-11-08,预估单,蓝单,0003000674,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429956,1,梭织,202223111029,C49288748,3,-1,-1,2022-11-08,预估单,蓝单,0003000674,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429957,1,梭织,202223111029,C49288748,3,-1,-1,2022-11-08,预估单,蓝单,0003000674,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429958,1,梭织,202223111029,C49288748,3,-1,-1,2022-11-08,预估单,蓝单,0003000674,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429959,1,梭织,200223111023,C44923613,1,-1,-1,2022-11-14,预估单,蓝单,0003000255,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429960,1,梭织,202223105106,C49664798,1,-1,-1,2022-11-19,预估单,蓝单,0003000608,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429961,1,梭织,202223118201,C47031805,1,-1,-1,2022-11-26,预估单,蓝单,0003000576,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429962,1,梭织,202223109203,C47328072,1,-1,-1,2022-11-26,预估单,蓝单,0003000000,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429963,1,梭织,202223108206,C47328074,1,-1,-1,2022-11-26,预估单,蓝单,0003000612,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429964,1,梭织,202223105004,C47342209,1,-1,-1,2022-11-26,预估单,蓝单,0003001177,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429965,1,梭织,202223105105,C49645108,2,-1,-1,2022-11-26,预估单,蓝单,0003000563,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429966,1,梭织,202223108207,C50032320,1,-1,-1,2022-11-26,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429967,1,梭织,200223181201,C50225015,1,-1,-1,2022-11-25,预估单,蓝单,0003000659,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429968,1,梭织,202223111042,C50324451,1,-1,-1,2022-11-08,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429969,1,梭织,202223112006,C50579769,2,-1,-1,2022-11-14,预估单,蓝单,EMPTY,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429970,1,牛仔,201223111002,C44771964,1,-1,-1,2022-11-14,预估单,蓝单,0003000041,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
1585937137650429971,1,牛仔,201223111002,C44771964,1,-1,-1,2022-11-14,预估单,蓝单,0003000041,0,EMPTY,EMPTY,0,品种细分池,0,0,1,2023-01-08 14:33:19,2023-01-08 14:33:19
