id,calendar_id,work_date,valid,create_time,update_time
1509815033980461064,1485819595149426689,2022-11-15,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461065,1485819595149426689,2022-11-16,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461066,1485819595149426689,2022-11-17,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461067,1485819595149426689,2022-11-18,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461068,1485819595149426689,2022-11-19,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461069,1485819595149426689,2022-11-21,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461070,1485819595149426689,2022-11-22,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461071,1485819595149426689,2022-11-23,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461072,1485819595149426689,2022-11-24,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461073,1485819595149426689,2022-11-25,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461074,1485819595149426689,2022-11-26,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461075,1485819595149426689,2022-11-28,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461076,1485819595149426689,2022-11-29,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461077,1485819595149426689,2022-11-30,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461078,1485819595149426689,2022-12-01,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461079,1485819595149426689,2022-12-02,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461080,1485819595149426689,2022-12-03,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461081,1485819595149426689,2022-12-05,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461082,1485819595149426689,2022-12-06,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461083,1485819595149426689,2022-12-07,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461084,1485819595149426689,2022-12-08,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461085,1485819595149426689,2022-12-09,1,2022-04-01 16:48:50,2022-04-01 16:48:50
1509815033980461086,1485819595149426689,2022-12-10,1,2022-04-01 16:48:50,2022-04-01 16:48:50
